State,Month,Victim Sex,Victim Race,Victim Count,Target_Solved,Decade,Victim Age Group,Weapon Grouped,Agency Grouped,Relationship Grouped,Cluster_ID,Solve_Probability,Cold_Case_Risk_Score,Predicted_Solved,SHAP_Feature_1,SHAP_Feature_2,SHAP_Feature_3,SHAP_Feature_4,SHAP_Feature_5
Michigan,February,Male,Black,0,1,1990s,Young Adult,Firearm,Municipal,Stranger,-1,0.8163813488543681,18.361865114563198,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Relationship Grouped_Known,State_California,Decade_1990s
Louisiana,May,Female,White,0,1,1990s,Young Adult,Blunt Object,Sheriff,Intimate Partner,-1,0.97382050287091,2.617949712908998,1,Relationship Grouped_Unknown,Relationship Grouped_Intimate Partner,Relationship Grouped_Known,Agency Grouped_Sheriff,Victim Sex_Male
Maryland,June,Male,Black,0,0,1990s,Young Adult,Firearm,Municipal,Unknown,0,0.16673211435907442,83.32678856409255,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,State_Maryland
South Carolina,November,Male,Black,0,1,1980s,Young Adult,Firearm,Municipal,Known,-1,0.9681488814589659,3.1851118541034062,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_South Carolina,Relationship Grouped_Intimate Partner,State_New York
Texas,June,Male,White,0,1,1980s,Child,Blunt Object,Municipal,Family,-1,0.9387601989542652,6.123980104573478,1,Relationship Grouped_Unknown,Victim Age Group_Child,Relationship Grouped_Known,State_Texas,Victim Race_White
New York,October,Male,White,0,1,1980s,Senior,Knife,State,Stranger,-1,0.8597804190497147,14.021958095028534,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Agency Grouped_State,Agency Grouped_Municipal,State_New York
Illinois,April,Male,Black,0,1,1980s,Young Adult,Firearm,Municipal,Intimate Partner,-1,0.9356946601665797,6.43053398334203,1,Relationship Grouped_Unknown,Relationship Grouped_Intimate Partner,Relationship Grouped_Known,Victim Race_White,State_California
Florida,May,Male,Black,0,1,1980s,Senior,Firearm,County,Known,-1,0.9181384251024396,8.186157489756042,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_Florida,Relationship Grouped_Intimate Partner,Agency Grouped_Sheriff
California,May,Male,White,0,0,2010s,Young Adult,Firearm,Sheriff,Unknown,0,0.17482341270989044,82.51765872901096,0,Relationship Grouped_Unknown,Relationship Grouped_Known,State_California,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner
California,January,Male,Black,0,1,1980s,Young Adult,Firearm,Municipal,Unknown,-1,0.17935478361208523,82.06452163879148,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Intimate Partner,Relationship Grouped_Stranger,State_California
Michigan,January,Male,Black,0,1,1980s,Teen,Firearm,Municipal,Known,-1,0.9286378803626577,7.136211963734225,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Victim Age Group_Teen,Relationship Grouped_Intimate Partner,State_Michigan
Pennsylvania,April,Male,Black,0,1,2000s,Young Adult,Firearm,Municipal,Unknown,-1,0.27258132453738815,72.74186754626119,0,Relationship Grouped_Unknown,Relationship Grouped_Known,State_Pennsylvania,Relationship Grouped_Stranger,Decade_2000s
Illinois,October,Male,Black,0,0,2000s,Young Adult,Firearm,Municipal,Unknown,4,0.1749869059202852,82.50130940797148,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Decade_2000s
